ID,Titre,Marque,Modele,Prix Initial,Prix Actuel,Statut,Date Annonce,Date Premiere Vue,Date Dernière Vue,Date Vendu,Jours en Vente,Lien
482,VOLKSWAGEN TOURAN 1.6 TDI 115 BMT 7pl Confortline + AttelageVOLKSWAGEN TOURAN 1.6 TDI 115 BMT 7pl Confortline + AttelageAnnonce retirée des favorisVOL,VOLKSWAGEN,TOURAN,20 490 €,20 490 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
481,Citroen C3 1.2 PureTech 110ch S&S Shine 124gCitroen C3 1.2 PureTech 110ch S&S Shine 124gAnnonce retirée des favorisCitroen C3 1.2 PureTech 110ch S&S S,Citroen,C3,10 499 €,10 499 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
480,PEUGEOT 208 1.6 THP ch SS BVM6 GTi garantie 12 moisPEUGEOT 208 1.6 THP ch SS BVM6 GTi garantie 12 moisAnnonce retirée des favorisPEUGEOT 208 1.6 THP c,PEUGEOT,208,9 480 €,9 480 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
479,Ford Capri 286ch Extended Range 77kW Pack Premium RWDFord Capri 286ch Extended Range 77kW Pack Premium RWDAnnonce retirée des favorisFord Capri 286ch ,Ford,Capri,49 999 €,49 999 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
478,Citroën C5 E-HDI 110cv MILLENIUM BMP6 133699 kmsCitroën C5 E-HDI 110cv MILLENIUM BMP6 133699 kmsAnnonce retirée des favorisCitroën C5 E-HDI 110cv MILL,Citroën,C5,7 990 €,7 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
477,Mercedes AMG GT 4 PORTES 63 AMG S 639CH 4MATIC+ SPEEDSHIFT MCT AMGMercedes AMG GT 4 PORTES 63 AMG S 639CH 4MATIC+ SPEEDSHIFT MCT AMGAnnonce retirée de,Mercedes,AMG,74 999 €,74 999 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
476,Ford Kuga 2.5 Duratec 190ch FHEV E85 Vignale BVAFord Kuga 2.5 Duratec 190ch FHEV E85 Vignale BVAAnnonce retirée des favorisFord Kuga 2.5 Duratec 190ch,Ford,Kuga,30 490 €,30 490 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
475,Ford Fiesta 1.0 EcoBoost 140ch Stop&Start ST-Line 5pFord Fiesta 1.0 EcoBoost 140ch Stop&Start ST-Line 5pAnnonce retirée des favorisFord Fiesta 1.0 Eco,Ford,Fiesta,10 990 €,10 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
474,Bmw Z4 Roadster 3.0i L6 SDRIVE 258cv M-SPORT FRANCAISE HISTORIQUE BMWBmw Z4 Roadster 3.0i L6 SDRIVE 258cv M-SPORT FRANCAISE HISTORIQUE BMWAnnonce reti,Bmw,Z4,21 990 €,21 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
473,Ford ka ii - 1.2 titanium / garantie 12 mois / entretien a jourFord ka ii - 1.2 titanium / garantie 12 mois / entretien a jourAnnonce retirée des favo,Ford,ka,4 990 €,4 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
472,Volkswagen Polo V 1.2 TSI 90 BlueMotion Technology Allstar 5pVolkswagen Polo V 1.2 TSI 90 BlueMotion Technology Allstar 5pAnnonce retirée des favorisV,Volkswagen,Polo,6 490 €,6 490 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
471,Citroën C3 Aircross BUSINESS BlueHDi 120 S&S EAT6 FeelCitroën C3 Aircross BUSINESS BlueHDi 120 S&S EAT6 FeelAnnonce retirée des favorisCitroën C3 Airc,Citroën,C3,13 990 €,13 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
470,Renault Arkana E-TECH 145 INTENSRenault Arkana E-TECH 145 INTENSAnnonce retirée des favorisRenault Arkana E-TECH 145 INTENS16 990 €Prix: 16 990 €.ProV,Renault,Arkana,16 990 €,16 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
469,Peugeot 5008 1.5 BLUEHDI 130CH S&S ALLURE PACK EAT8Peugeot 5008 1.5 BLUEHDI 130CH S&S ALLURE PACK EAT8Annonce retirée des favorisPeugeot 5008 1.5 BLUE,Peugeot,5008,829 990 €,829 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:38,2025-11-29 19:34:38,N/A,0,N/A
